density,r2u2_c,r2u2_rust,hydra,bvmon
10,3671071.218795888,1431843.9289805272,7836989.028213168,9522854.961832063
5,3709197.3293768545,1553759.4779366066,7645256.8807339445,9596107.692307694
2,3927728.986645719,1729505.015565548,7507506.006006004,9415049.05660377
1,4135648.469809759,1920122.5038402458,6993005.594405593,8486353.741496598
0.75,4177108.6048454475,1898253.2270311315,7153074.391988556,9189642.725598525
0.5,4480285.842293906,2157962.4514458356,7680490.015360983,9379654.135338344
0.25,4770980.916030535,2339722.976134768,7873996.8503937,9362056.285178235
0.1,5128202.051282051,2558852.0982599794,8223679.27631579,9450712.12121212
0.05,5476446.878422782,2724793.460490464,8077537.964458805,9344524.344569288
0.01,5656105.2036199095,2852251.568739304,8264457.851239671,9559340.996168582
0.005,5714152.0,2925619.0754827377,8389065.436241612,9432846.880907372
0.001,5746085.057471263,2898025.5072463774,8222194.078947369,9362056.285178237
0.0005,5394593.513513513,2872768.566493955,8166936.170212766,9577689.05950096
0.0001,4622264.569842738,2065592.3935510544,8300112.956810632,9155919.266055048
5e-05,4127377.171215882,1724256.738078784,7653371.165644172,9432846.880907372
1e-05,3639678.3369803065,1478080.2725118482,8471983.02207131,9559340.996168584
5e-06,3587346.513299783,1411198.8122171946,8471983.022071308,9596107.692307694
1e-06,3524010.593220339,1368247.6007677545,8358455.611390285,9415049.056603773
